title,authors,publisher,publishedDate,ISBN-10,ISBN-13,pageCount,height,width,thickness,genre,retailPrice,cover
The Google Story,David A. Vise,Pan MacMillan,2/8/2018,1509889213,9781509889211 ,352,23.40 cm,15.60 cm,2.00 cm,drama,12.99,
Moby Dick,Herman Melville,Wordsworth Editions,1992,1853260088,9781853260087 ,492,20.00 cm,12.90 cm,2.70 cm,drama,5.99,https://books.google.com/books/content?id=vzdbUH74-z4C&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE70L7cxSeanGaFGOfxYQ999JlekZug380WaACrnrhaQX1YxckAzwanDyGyTSqw3lGZXvhlGnDGmBNTTlRpzIlhPgyfy4CtK7cTPsYwlpic6zrn9PMv54x05eXyuHr93K-c2FQdF4&source=gbs_api
The Catcher in the Rye,J.D. Salinger,"Little, Brown",1/30/2001,316769177,9780316769174 ,288,21.00 cm,,,action,5.99,
Harry Potter and the Sorcerer's Stone,J. K. Rowling,Scholastic Incorporated,2015,545790352,9780545790352 ,246,28.00 cm,22.90 cm,3.30 cm,romance,15.99,
Harry Potter and the Chamber of Secrets (MinaLima Edition),J. K. Rowling,"Scholastic, Incorporated",10/26/2021,1338716530,9781338716535 ,400,24.00 cm,15.70 cm,4.90 cm,how-to,10.99,
"Ecstasy: The Clinical, Pharmacological and Neurotoxicological Effects of the Drug MDMA",Stephen J. Peroutka,Springer Science & Business Media,12/31/1989,792303059,9780792303053 ,244,24.00 cm,15.50 cm,1.90 cm,horror,5.99,https://books.google.com/books/content?id=Qrptgbt3TIsC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE73BwV5xg-Q4wnQFFGnGt8E8p4BNQAcmNnEKQOYCBZS5aneuf5T399i4rqyVJ07u_r1LlL-wQCpRBXfUj-wzx3HBndOnXcSMrPL4T8yGiYVMDXnnCq9xWCeNRaa_KbkuB58gBXj9&source=gbs_api
Love in the Present Tense,Catherine Ryan Hyde,Knopf Doubleday Publishing Group,7/10/2007,307276716,9780307276711 ,272,21.00 cm,13.30 cm,1.50 cm,romance,7.99,https://books.google.com/books/publisher/content?id=yB6ODQAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE70-zJ2pZjrnlsqK-bfWgXwkmZuJshykjsr4GJDPfojIVnYSt9xxv0MXPkxMC3dfXUe7fjI4ZxCoOhsI8lte9RuxwvUJZMY1nhkN135mEqCkHHJbgbVeN0wNXcHOT3bIcGBjR6PN&source=gbs_api
Feminist Democratic Representation,"Karen Celis, Sarah Childs",Oxford University Press,2020,190087722,9780190087722 ,256,21.00 cm,21.10 cm,2.30 cm,action,7.99,https://books.google.com/books/publisher/content?id=5_3-DwAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE73R0StmE12nyMqyI_IP4E2C1_so8YQ7FMA7yEl0TR7mVok1_sZXUF9LHzg5Z4eiQiz3ygfg9YTsQYQUIyY364Lh7wT3qYpwtdrltIkgbLqXAROLwGE6bP3i38EBU-eV2b-UU7RW&source=gbs_api
How Natural Gas can Displace Competing Fuels,Economic Commission for Europe,United Nations,11/5/2020,9210054571,9789210054577 ,24,,,,action,5.99,https://books.google.com/books/publisher/content?id=cxcOEAAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE71fYzYs1MAQDg9Qp9s3JzB8huj13LhOtbY-slyeWvr3myb1wUtsvbLj-OVS-D9XAW-UVFOl7jnoauS9F9DnfQ1_XbkNSjU2qys-kI2SGHl1yrUe35BM3JiOLM9F4OSXo-rKhRHJ&source=gbs_api
The Lost Tribes,C. Taylor-Butler,Move Books,11/30/2016,099705137X,9780997051377 ,368,22.60 cm,15.20 cm,2.00 cm,drama,10.99,
